Player,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,NBA PER,Classification,Classification2
Dennis Smith Jr.,ACC,32,32,34.8,6,13.1,0.455,4.3,8.3,0.509,1.7,4.8,0.359,4.5,6.3,0.715,0.8,3.8,4.6,6.2,1.9,0.4,3.4,2.1,18.1,8.09,11.9,4,4
Derrick White,Pac-12,34,32,32.8,6,11.9,0.507,4.4,7.6,0.569,1.7,4.2,0.396,4.4,5.4,0.813,1,3.1,4.1,4.4,1.2,1.4,2.4,2.1,18.1,6,15.3,3,3
Frank Jackson,ACC,36,16,24.9,3.7,7.8,0.473,2.3,4.2,0.539,1.4,3.6,0.395,2.1,2.8,0.755,0.6,1.9,2.5,1.7,0.6,0.1,1.4,2.4,10.9,10.91,8.8,4,5
Frank Mason III,Big 12,36,36,36.1,6.7,13.7,0.49,4.4,8.8,0.5,2.3,4.8,0.471,5.3,6.6,0.794,0.6,3.6,4.2,5.2,1.3,0.1,2.4,2,20.9,12.23,12.5,4,4
Jawun Evans,Big 12,32,32,29.3,6.6,15.1,0.438,5.5,12.1,0.452,1.1,3,0.379,4.8,6,0.812,0.8,2.7,3.4,6.4,1.8,0.1,2.8,2.3,19.2,12.22,6.7,4,5
Monte Morris,Big 12,35,35,35.3,6.2,13.3,0.465,4.6,9.2,0.503,1.5,4.1,0.378,2.5,3.2,0.802,1.1,3.7,4.8,6.2,1.5,0.3,1.2,1.5,16.4,11.94,15.8,3,3
Edmond Sumner,Big East,21,20,33.1,4.8,10,0.479,4.2,8,0.533,0.6,2.1,0.273,4.8,6.5,0.735,0.5,3.8,4.3,5,1.3,0.8,2.8,2.4,15,11.51,9.2,4,5
Nigel Williams-Goss,WCC,38,38,32.8,5.8,11.9,0.486,4.7,8.8,0.527,1.1,3.1,0.368,4.1,4.8,0.867,0.6,5.4,6,4.7,1.7,0.1,2.1,1.6,16.8,4.13,5.7,4,5
Trae Young,Big 12,32,32,35.4,8.2,19.3,0.422,4.5,9.1,0.493,3.7,10.3,0.36,7.4,8.6,0.861,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4,10.56,20.2,1,1
Collin Sexton,SEC,33,32,29.9,5.9,13.3,0.447,4.6,9.3,0.495,1.3,4,0.336,5.9,7.6,0.778,1,2.7,3.8,3.6,0.8,0.1,2.8,2.5,19.2,10.64,14,3,4
Shai Gilgeous-Alexander,SEC,37,24,33.7,4.9,10.2,0.485,4.3,8.6,0.5,0.6,1.5,0.404,3.9,4.7,0.817,0.9,3.2,4.1,5.1,1.6,0.5,2.7,1.7,14.4,10.73,15.7,3,3
Aaron Holiday,Pac-12,33,33,37.7,6.4,13.9,0.461,3.8,7.7,0.486,2.7,6.2,0.429,4.8,5.8,0.828,0.5,3.2,3.7,5.8,1.3,0.2,3.8,2.6,20.3,6.86,11.8,4,4
Landry Shamet,AAC,32,32,31.7,4.8,9.8,0.489,2.2,3.9,0.56,2.6,5.9,0.442,2.7,3.2,0.825,0.4,2.8,3.2,5.2,0.7,0.2,2.1,1.9,14.9,5.46,10.2,4,5
Jevon Carter,Big 12,37,37,35.5,5.8,13.8,0.422,3.7,8.5,0.441,2.1,5.3,0.393,3.6,4.2,0.858,0.8,3.9,4.6,6.6,3,0.4,2.6,3,17.3,9.36,9.3,4,5
Jalen Brunson,Big East,40,40,31.8,6.8,13,0.521,4.6,7.7,0.599,2.2,5.3,0.408,3.3,4.1,0.802,0.3,2.8,3.1,4.6,0.9,0,1.8,2,18.9,10.24,13.6,3,4
Devonte' Graham,Big 12,39,39,37.8,5.1,12.8,0.4,2.3,5.8,0.392,2.8,6.9,0.406,4.3,5.2,0.827,0.6,3.4,4,7.2,1.6,0.1,2.8,1.4,17.3,11.87,14.5,3,4
Shake Milton,AAC,22,22,36.4,5.6,12.5,0.449,3,6.6,0.462,2.5,5.9,0.434,4.3,5,0.847,0.6,4,4.7,4.4,1.4,0.6,2.3,1.7,18,3.66,13.4,3,4
Ja Morant,OVC,33,33,36.6,8,16.1,0.499,6.3,11.3,0.556,1.7,4.8,0.363,6.7,8.2,0.813,1.2,4.5,5.7,10,1.8,0.8,5.2,1.5,24.5,-3.11,18,2,2
Darius Garland,SEC,5,5,27.8,5.8,10.8,0.537,3.6,6.2,0.581,2.2,4.6,0.478,2.4,3.2,0.75,0.4,3.4,3.8,2.6,0.8,0.4,3,1.4,16.2,7.79,8.5,4,5
Coby White,ACC,35,35,28.5,5.4,12.7,0.423,3,6.1,0.5,2.3,6.6,0.353,3,3.7,0.8,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,11.35,11.9,4,4
Ty Jerome,ACC,37,37,33.9,4.8,11.1,0.435,2.7,5.7,0.469,2.1,5.4,0.399,1.8,2.5,0.736,0.5,3.8,4.2,5.5,1.5,0,1.6,1.7,13.6,10.15,8.1,4,5
Carsen Edwards,Big Ten,36,36,35.4,7.7,19.5,0.394,3.9,9,0.44,3.8,10.6,0.355,5.1,6.1,0.837,0.4,3.2,3.6,2.9,1.3,0.3,3.1,2,24.3,11.99,6.5,4,5
Tremont Waters,SEC,33,29,32.4,5.2,12.1,0.43,3.5,6.9,0.507,1.7,5.2,0.327,3.2,3.9,0.813,0.3,2.5,2.8,5.8,2.9,0.1,3.5,1.9,15.3,9.16,6.5,4,5
Jordan Bone,SEC,37,37,32.9,5,10.8,0.465,3.7,7,0.525,1.4,3.8,0.355,2.1,2.5,0.835,0.5,2.7,3.2,5.8,0.7,0.1,2,1.3,13.5,10.16,0.8,4,5
